'id','class','function','coef1','coef2','coef1_ci','coef2_ci'
2,'evergreen','none',0.0,0.0,0.0,0.0
4,'deciduous','none',0.0,0.0,0.0,0.0
5,'mixed','none',0.0,0.0,0.0,0.0
9,'savanna','none',0.0,0.0,0.0,0.0
10,'grassland','none',0.0,0.0,0.0,0.0
11,'wetland','none',0.0,0.0,0.0,0.0
12,'cropland','none',0.0,0.0,0.0,0.0
13,'urban','none',0.0,0.0,0.0,0.0
16,'barren','none',0.0,0.0,0.0,0.0
17,'rice','none',0.0,0.0,0.0,0.0
18,'plantation','dual',7.491,25.0,-1.0318,0.0
19,'mangrove','none',0.0,0.0,0.0,0.0
20,'flooded','none',0.0,0.0,0.0,0.0
21,'aquaculture','none',0.0,0.0,0.0,0.0
25,'water','none',0.0,0.0,0.0,0.0
26,'secondary','log',34.26401,0.0,0.0,0.0
27,'oldplant','none',0.0,0.0,0.0,0.0
0,'nodata','none',0.0,0.0,0.0,0.0
